topic,edit_count
Suppressor,1
Suppressor/zh-hans,1
Surge of Power,1
Swan,1
Swift Striker,1
Tankbuster,1
Tankbuster/zh-hans,1
Tesla Bullets,1
Viscous,1
Slowing Hex/zh-hans,1
The Doorman/Update history,1
Titanic Magazine,1
Torment Pulse,1
Torment Pulse/zh-hans,1
Active Reload/ru,1
Trapper,1
Trooper,1
Trophy Collector,1
Trophy Collector/zh-hans,1
Unstoppable,1
Active Reload,1
Vyper,1
Walker,1
Warden,1
Warp Stone,1
Weakening Headshot,1
Weapon Shielding,1
Weapon Shielding/zh-hans,1
Weighted Shots,1
Witchmail,1
Witchmail/zh-hans,1
Wraith,1
Wraith/Quotes,1
Wraith/ru,1
Wrecker,1
Ammo Scavenger,1
Alchemical Fire,1
Boundless Spirit/zh-hans,1
Arcane Surge,1
Arcane Surge/zh-hans,1
Arctic Blast,1
Arctic Blast/zh-hans,1
Armor Piercing Rounds,1
Backstabber,1
Backstabber/ru,1
Battle Vest,1
Bullet Armor,1
Berserker,1
Billy,1
Blood Tribute,1
Boho,1
Boundless Spirit,1
